FU 137	Cycle	RC	S0	S1	S2	S3	S4	S5	qPCR Temp	FILE EXPORTED FROM DATABASE	
	8	2	57997	11376	5847	38899	117416	31835	45479	35.31
	8	3	58799	13149	5423	15008	207678	35179	50256	35.31
	8	4	58219	23765	11130	54872	232668	34121	48745	35.31
	8	5	70434	21947	10932	109477	196704	34622	49461	35.31
	8	6	79288	25836	10957	43609	94456	32571	46531	35.31
	8	7	66504	15634	7724	104775	155066	32545	46493	35.31
	8	8	10912	3439	3416	3144	4260	2869	4099	35.31
	9	1	10024	3433	3345	3712	145831	27411	39159	35.44
	9	2	58149	11416	5875	39001	117646	31882	45546	35.44
	9	3	59096	13217	5425	15034	208835	35186	50267	35.44
	9	4	58616	23886	11176	55143	234117	34148	48784	35.44
	9	5	70615	21958	10957	109433	196857	34647	49497	35.44
	9	6	79620	25982	11013	43686	94463	32573	46534	35.44
	9	7	66702	15684	7738	105056	155617	32554	46507	35.44
	9	8	10915	3448	3427	3155	4246	2863	4090	35.44
	10	1	10004	3444	3351	3721	145810	27450	39215	35.56
	10	2	58480	11472	5894	39223	118248	31931	45616	35.56
	10	3	59304	13244	5436	15101	209936	35232	50332	35.56
	10	4	58838	23978	11214	55336	234863	34204	48864	35.56
	10	5	70848	22037	10949	109678	197269	34684	49549	35.56
	10	6	79990	26096	11055	43796	94439	32573	46533	35.56
	10	7	66956	15734	7769	105546	156291	32583	46548	35.56
	10	8	10924	3439	3434	3153	4239	2854	4078	35.56
	11	1	10011	3458	3346	3699	145279	27480	39258	35.69
	11	2	58646	11482	5879	39326	118494	31969	45671	35.69
	11	3	59490	13281	5449	15133	210625	35260	50372	35.69
	11	4	59029	24054	11249	55410	235560	34254	48935	35.69
	11	5	70923	22054	10943	109637	197326	34672	49532	35.69
	11	6	80105	26151	11089	43815	94325	32523	46462	35.69
	11	7	67130	15796	7798	105958	156789	32617	46597	35.69
	11	8	10925	3444	3430	3161	4233	2882	4118	35.69
	12	1	10017	3428	3335	3730	144977	27538	39341	35.75
	12	2	58756	11508	5906	39323	118432	31957	45654	35.75
	12	3	59623	13331	5469	15170	211391	35287	50411	35.75
	12	4	59193	24124	11277	55451	236033	34202	48860	35.75
	12	5	71028	22113	10980	109673	197402	34682	49547	35.75
	12	6	80347	26251	11139	43906	94325	32550	46501	35.75
	12	7	67263	15837	7816	106305	157171	32601	46573	35.75
	12	8	10954	3453	3421	3154	4244	2860	4087	35.75
	13	1	10005	3439	3348	3692	144535	27551	39359	35.81
	13	2	58911	11559	5894	39431	118602	31996	45710	35.81
	13	3	59718	13337	5446	15198	211809	35292	50418	35.81
	13	4	59383	24213	11287	55619	236917	34276	48967	35.81
	13	5	71125	22151	10999	109720	197694	34736	49624	35.81
	13	6	80435	26336	11165	43922	94229	32557	46511	35.81
	13	7	67410	15883	7845	106559	157621	32641	46631	35.81
	13	8	10947	3451	3389	3129	4251	2869	4099	35.81
	14	1	10019	3434	3331	3711	144259	27555	39365	35.88
	14	2	58967	11547	5875	39559	118860	32013	45734	35.88
	14	3	59848	13381	5471	15224	212524	35301	50430	35.88
	14	4	59439	24216	11326	55648	236982	34304	49007	35.88
	14	5	71205	22145	10997	109660	197559	34672	49532	35.88
	14	6	80625	26391	11203	43978	94241	32549	46499	35.88
	14	7	67558	15922	7868	106903	158081	32646	46638	35.88
	14	8	10955	3460	3427	3152	4236	2877	4111	35.88
	15	1	10021	3417	3328	3719	143620	27498	39283	35.91
	15	2	59053	11576	5911	39633	118951	32005	45722	35.91
	15	3	59908	13406	5490	15251	213000	35359	50513	35.91
	15	4	59560	24301	11335	55706	237493	34308	49012	35.91
	15	5	71243	22163	10985	109670	197757	34703	49577	35.91
	15	6	80758	26457	11208	44023	94173	32551	46502	35.91
	15	7	67680	15971	7860	107263	158512	32699	46713	35.91
	15	8	10964	3448	3393	3139	4230	2860	4087	35.91
	16	1	9991	3430	3332	3712	143379	27549	39356	35.97
	16	2	59203	11616	5898	39730	119248	32036	45766	35.97
	16	3	59970	13427	5466	15288	213245	35331	50473	35.97
	16	4	59612	24327	11354	55754	237727	34338	49055	35.97
	16	5	71369	22204	10998	109688	197862	34702	49575	35.97
	16	6	80894	26498	11242	44079	94117	32538	46483	35.97
	16	7	67754	16008	7881	107461	158846	32682	46690	35.97
	16	8	10994	3442	3402	3154	4235	2848	4069	35.97
	17	1	9990	3414	3324	3692	143137	27509	39299	36.03
	17	2	59233	11616	5910	39778	119265	32072	45818	36.03
	17	3	60001	13419	5478	15294	213610	35325	50465	36.03
	17	4	59755	24367	11356	55822	238167	34356	49081	36.03
	17	5	71435	22233	11018	109629	197888	34699	49571	36.03
	17	6	81017	26582	11288	44111	94179	32550	46501	36.03
	17	7	67809	16055	7898	107585	159116	32667	46668	36.03
	17	8	10983	3446	3408	3130	4248	2848	4069	36.03
	18	1	9982	3439	3316	3698	143181	27566	39381	36.06
	18	2	59273	11627	5895	39861	119340	32066	45810	36.06
	18	3	60050	13453	5485	15311	213805	35306	50438	36.06
	18	4	59762	24385	11366	55849	238169	34379	49113	36.06
	18	5	71445	22275	11007	109638	197950	34706	49580	36.06
	18	6	81056	26660	11308	44104	94069	32528	46469	36.06
	18	7	67137	15913	7864	106378	157320	32281	46116	36.06
	18	8	10995	3461	3406	3143	4241	2846	4066	36.06
	19	1	9991	3444	3339	3692	142881	27572	39389	36.13
	19	2	59276	11655	5933	39897	119377	32094	45849	36.13
	19	3	60127	13455	5497	15358	214295	35349	50499	36.13
	19	4	59835	24437	11400	55853	238432	34386	49124	36.13
	19	5	71481	22271	11011	109514	197883	34675	49536	36.13
	19	6	81134	26710	11321	44114	94051	32528	46470	36.13
	19	7	64915	15473	7723	102335	151464	31126	44467	36.13
	19	8	11017	3437	3400	3145	4235	2856	4081	36.13
