FU 142	Cycle	RC	S0	S1	S2	S3	S4	S5	qPCR Temp	FILE EXPORTED FROM DATABASE	
	9	7	88794	19443	8007	118941	162180	70170	33.34
	9	8	15943	8467	5537	4539	6563	4230	33.34
	10	1	47982	11548	5500	5285	214636	69655	33.41
	10	2	61519	12720	6544	88538	178419	67425	33.41
	10	3	80852	19952	7841	33489	214626	70761	33.41
	10	4	80961	30601	12790	62679	250194	68849	33.41
	10	5	91424	27449	12269	150076	271049	71058	33.41
	10	6	111089	40839	16213	59576	119295	70413	33.41
	10	7	88937	19465	8020	118948	161989	70110	33.41
	10	8	15947	8484	5537	4549	6560	4213	33.41
	11	1	48015	11555	5500	5277	213872	69577	33.50
	11	2	61703	12747	6507	88783	178145	67561	33.50
	11	3	81020	19981	7858	33555	214414	70742	33.50
	11	4	81050	30647	12825	62502	249773	68835	33.50
	11	5	91788	27494	12276	150385	271435	71059	33.50
	11	6	111310	40911	16256	59623	119540	70402	33.50
	11	7	89088	19485	8024	118817	161758	70107	33.50
	11	8	15965	8474	5520	4538	6564	4247	33.50
	12	1	48112	11560	5489	5281	213818	69557	33.59
	12	2	61679	12716	6509	88530	177758	67496	33.59
	12	3	81281	20033	7839	33616	214578	70809	33.59
	12	4	81100	30686	12864	62434	249531	68760	33.59
	12	5	92047	27549	12316	150505	271305	71047	33.59
	12	6	111498	41004	16271	59647	119792	70417	33.59
	12	7	89171	19518	8024	118724	161584	70065	33.59
	12	8	15988	8462	5520	4539	6569	4207	33.59
	13	1	48259	11571	5486	5288	213598	69505	33.69
	13	2	61731	12739	6507	88515	177756	67541	33.69
	13	3	81019	20008	7852	33523	213368	70704	33.69
	13	4	81219	30710	12850	62389	249314	68808	33.69
	13	5	92269	27591	12316	150706	271481	71069	33.69
	13	6	111584	41061	16290	59631	119932	70445	33.69
	13	7	89305	19530	8027	118673	161413	70060	33.69
	13	8	15991	8474	5513	4535	6570	4215	33.69
	14	1	48367	11612	5499	5279	213696	69556	33.75
	14	2	61746	12726	6521	88363	177336	67509	33.75
	14	3	81024	20015	7858	33560	213096	70635	33.75
	14	4	81163	30693	12873	62175	248679	68709	33.75
	14	5	92441	27615	12304	150780	271789	71010	33.75
	14	6	111683	41107	16346	59639	120157	70461	33.75
	14	7	89374	19549	8028	118635	161388	70111	33.75
	14	8	16008	8485	5510	4534	6567	4212	33.75
	15	1	48492	11603	5494	5297	213888	69609	33.84
	15	2	61810	12761	6513	88285	177082	67556	33.84
	15	3	81008	20018	7851	33596	212922	70704	33.84
	15	4	81196	30735	12889	62120	248464	68694	33.84
	15	5	92618	27662	12326	150930	271743	71041	33.84
	15	6	111780	41163	16342	59662	120304	70400	33.84
	15	7	89418	19578	8027	118552	161313	70061	33.84
	15	8	16034	8467	5504	4537	6556	4214	33.84
	16	1	48578	11595	5488	5289	213731	69635	33.94
	16	2	61852	12750	6517	88319	177016	67585	33.94
	16	3	81231	20041	7881	33661	212980	70787	33.94
	16	4	81202	30751	12878	62015	247885	68612	33.94
	16	5	92866	27702	12351	151086	272062	71046	33.94
	16	6	111842	41203	16374	59609	120468	70416	33.94
	16	7	89509	19611	8042	118540	161222	70048	33.94
	16	8	16025	8464	5521	4545	6563	4223	33.94
	17	1	48612	11606	5498	5282	213558	69538	34.00
	17	2	61826	12742	6506	88110	176599	67555	34.00
	17	3	81099	20059	7868	33631	212402	70771	34.00
	17	4	81292	30806	12912	62054	248115	68617	34.00
	17	5	92911	27685	12332	150929	271741	70976	34.00
	17	6	111826	41244	16385	59558	120585	70335	34.00
	17	7	89581	19599	8032	118519	161199	70051	34.00
	17	8	16037	8455	5509	4551	6569	4207	34.00
	18	1	48719	11613	5480	5300	213713	69606	34.09
	18	2	61905	12750	6520	88143	176543	67528	34.09
	18	3	81127	20067	7881	33661	212353	70784	34.09
	18	4	81307	30795	12894	61995	247813	68590	34.09
	18	5	92995	27696	12341	150993	271697	70903	34.09
	18	6	111971	41311	16439	59542	120787	70340	34.09
	18	7	89604	19612	8034	118377	161100	70010	34.09
	18	8	16046	8459	5515	4526	6561	4217	34.09
	19	1	48765	11610	5484	5283	213484	69565	34.16
	19	2	61886	12759	6523	87975	176343	67510	34.16
	19	3	81213	20073	7880	33695	212282	70763	34.16
	19	4	81411	30829	12892	62032	247722	68572	34.16
	19	5	93121	27737	12338	151093	271757	70929	34.16
	19	6	111968	41329	16444	59523	120860	70308	34.16
	19	7	89760	19646	8055	118540	161262	70086	34.16
	19	8	16070	8468	5502	4544	6571	4222	34.16
	20	1	48890	11612	5481	5299	213692	69535	34.25
	20	2	61874	12734	6519	87913	176163	67465	34.25
	20	3	81152	20068	7883	33708	212241	70731	34.25
	20	4	81405	30870	12919	62007	247674	68554	34.25
	20	5	93349	27769	12339	151332	272405	70965	34.25
	20	6	111957	41364	16448	59531	121042	70297	34.25
	20	7	89845	19658	8039	118510	161268	70060	34.25
	20	8	16060	8471	5505	4551	6560	4226	34.25
	21	1	48920	11653	5491	5294	213854	69616	34.31
	21	2	61873	12742	6501	87752	175987	67416	34.31
	21	3	81150	20090	7880	33724	211940	70705	34.31
	21	4	81459	30859	12915	61901	247458	68481	34.31
	21	5	93464	27780	12355	151382	272479	70991	34.31
	21	6	112057	41408	16474	59524	121172	70295	34.31
	21	7	89892	19663	8048	118494	161208	70059	34.31
	21	8	16065	8445	5530	4553	6565	4214	34.31
	22	1	48992	11629	5484	5294	213777	69580	34.41
	22	2	61900	12773	6495	87821	176074	67414	34.41
	22	3	81141	20070	7864	33727	211589	70637	34.41
	22	4	81449	30889	12929	61908	247259	68447	34.41
	22	5	93686	27838	12343	151709	272780	71112	34.41
	22	6	112083	41430	16514	59509	121302	70275	34.41
	22	7	89948	19688	8048	118485	161198	70039	34.41
	22	8	16097	8453	5514	4549	6572	4238	34.41
	23	1	49025	11646	5477	5297	213507	69515	34.47
	23	2	61869	12779	6513	87649	175615	67333	34.47
	23	3	81087	20080	7872	33698	211295	70655	34.47
	23	4	81553	30956	12943	61949	247314	68496	34.47
	23	5	93827	27861	12380	151848	273200	71103	34.47
	23	6	112100	41454	16527	59487	121425	70244	34.47
	23	7	89929	19656	8064	118316	161063	69945	34.47
	23	8	16067	8454	5511	4550	6571	4218	34.47
	24	1	49107	11626	5504	5296	213572	69479	34.53
	24	2	61977	12774	6525	87843	175904	67421	34.53
	24	3	81211	20109	7885	33787	211460	70666	34.53
	24	4	81597	31012	12976	61985	247375	68527	34.53
	24	5	93729	27849	12351	151552	272685	70964	34.53
	24	6	112185	41498	16550	59492	121527	70233	34.53
	24	7	90037	19699	8043	118411	161125	69982	34.53
	24	8	16087	8456	5511	4538	6572	4223	34.53
	25	1	49215	11656	5494	5295	213911	69555	34.59
	25	2	61976	12780	6524	87792	175775	67345	34.59
	25	3	81221	20108	7878	33820	211314	70636	34.59
	25	4	81614	31106	13014	61928	247223	68466	34.59
	25	5	93827	27856	12362	151669	272785	70977	34.59
	25	6	112237	41531	16549	59494	121627	70220	34.59
	25	7	90026	19709	8044	118272	160943	69925	34.59
	25	8	16087	8439	5495	4530	6578	4204	34.59
	26	1	49268	11663	5493	5296	213919	69461	34.63
	26	2	62078	12766	6527	87848	175858	67422	34.63
	26	3	81232	20101	7881	33837	211286	70639	34.63
	26	4	81649	31302	13096	61930	247130	68436	34.63
	26	5	93943	27891	12375	151676	272819	70959	34.63
	26	6	112279	41578	16576	59535	121781	70178	34.63
	26	7	90080	19709	8056	118292	160997	69906	34.63
	26	8	16089	8444	5515	4535	6559	4232	34.63
	27	1	49366	11676	5497	5288	214418	69523	34.69
	27	2	62078	12776	6499	87816	175832	67338	34.69
	27	3	81274	20105	7879	33827	211116	70604	34.69
	27	4	81696	31668	13232	61892	246812	68394	34.69
	27	5	94031	27928	12388	151781	272862	70952	34.69
	27	6	112254	41579	16574	59608	121806	70106	34.69
	27	7	90167	19732	8064	118366	161079	69883	34.69
	27	8	16106	8434	5493	4529	6557	4190	34.69
	28	1	49345	11668	5496	5298	214561	69415	34.75
	28	2	62063	12766	6513	87772	175741	67306	34.75
	28	3	81180	20125	7865	33822	210695	70478	34.75
	28	4	81777	32407	13553	61906	246995	68399	34.75
	28	5	93927	27880	12360	151440	272133	70784	34.75
	28	6	112323	41634	16612	59676	121979	70145	34.75
	28	7	90221	19754	8064	118276	161076	69894	34.75
